02:30:03

=== Loading experiment [device: cpu] ===

{'action_noise': None,
 'action_noise_scale': 0.1,
 'action_repeat': 3,
 'batch_size': 50,
 'context_length': 7,
 'coverage': False,
 'ensemble_size': 25,
 'env_name': 'SparseMountainCar',
 'epsilon': 1e-08,
 'expl_scale': 1.0,
 'expl_strategy': 'information',
 'grad_clip_norm': 1000,
 'hidden_size': 200,
 'learning_rate': 0.001,
 'logdir': 'mountain_car',
 'max_episode_len': 500,
 'n_candidates': 500,
 'n_episodes': 50,
 'n_seed_episodes': 1,
 'n_train_epochs': 100,
 'optimisation_iters': 5,
 'plan_horizon': 30,
 'record_every': None,
 'reward_scale': 1.0,
 'seed': 0,
 'strategy': 'information',
 'top_candidates': 50,
 'use_exploration': True,
 'use_mean': False,
 'use_reward': True}
Low-level transition added: state=[-0.58912799  0.        ], goal=[-0.59151131 -0.00118726], action=[-0.59198356], reward=0, next_state=[-0.59151131 -0.00118726], next_goal=[-0.59151131 -0.00118726]
Low-level transition added: state=[-0.59151131 -0.00118726], goal=[-0.60058361 -0.00392364], action=[-0.95714563], reward=0, next_state=[-0.60058361 -0.00392364], next_goal=[-0.60058361 -0.00392364]
Low-level transition added: state=[-0.60058361 -0.00392364], goal=[-0.60849623 -0.00197285], action=[0.03704042], reward=0, next_state=[-0.60849623 -0.00197285], next_goal=[-0.60849623 -0.00197285]
Low-level transition added: state=[-0.60849623 -0.00197285], goal=[-6.09892637e-01  2.94354861e-04], action=[0.07921232], reward=0, next_state=[-6.09892637e-01  2.94354861e-04], next_goal=[-6.09892637e-01  2.94354861e-04]
Low-level transition added: state=[-6.09892637e-01  2.94354861e-04], goal=[-0.60685228  0.00136693], action=[-0.18455873], reward=0, next_state=[-0.60685228  0.00136693], next_goal=[-0.60685228  0.00136693]
Low-level transition added: state=[-0.60685228  0.00136693], goal=[-0.60313875  0.00116403], action=[-0.45080608], reward=0, next_state=[-0.60313875  0.00116403], next_goal=[-0.60313875  0.00116403]
Low-level transition added: state=[-0.60313875  0.00116403], goal=[-0.60352829 -0.0007782 ], action=[-0.8240732], reward=0, next_state=[-0.60352829 -0.0007782 ], next_goal=[-0.60352829 -0.0007782 ]
Low-level transition added: state=[-0.60352829 -0.0007782 ], goal=[-0.59859317  0.00284905], action=[0.41431513], reward=0, next_state=[-0.59859317  0.00284905], next_goal=[-0.59859317  0.00284905]
Low-level transition added: state=[-0.59859317  0.00284905], goal=[-0.57806213  0.00879794], action=[0.9772222], reward=0, next_state=[-0.57806213  0.00879794], next_goal=[-0.57806213  0.00879794]
Low-level transition added: state=[-0.57806213  0.00879794], goal=[-0.54702185  0.01104687], action=[0.2775347], reward=0, next_state=[-0.54702185  0.01104687], next_goal=[-0.54702185  0.01104687]
Low-level transition added: state=[-0.54702185  0.01104687], goal=[-0.51475928  0.01052641], action=[-0.17825072], reward=0, next_state=[-0.51475928  0.01052641], next_goal=[-0.51475928  0.01052641]
Low-level transition added: state=[-0.51475928  0.01052641], goal=[-0.4891819   0.00745764], action=[-0.5916647], reward=0, next_state=[-0.4891819   0.00745764], next_goal=[-0.4891819   0.00745764]
Low-level transition added: state=[-0.4891819   0.00745764], goal=[-0.46235961  0.00961835], action=[0.69401175], reward=0, next_state=[-0.46235961  0.00961835], next_goal=[-0.46235961  0.00961835]
Low-level transition added: state=[-0.46235961  0.00961835], goal=[-0.43452789  0.00903779], action=[0.22159484], reward=0, next_state=[-0.43452789  0.00903779], next_goal=[-0.43452789  0.00903779]
Low-level transition added: state=[-0.43452789  0.00903779], goal=[-0.41395688  0.00571322], action=[-0.26219767], reward=0, next_state=[-0.41395688  0.00571322], next_goal=[-0.41395688  0.00571322]
Low-level transition added: state=[-0.41395688  0.00571322], goal=[-0.40338383  0.00240103], action=[-0.17752911], reward=0, next_state=[-0.40338383  0.00240103], next_goal=[-0.40338383  0.00240103]
Low-level transition added: state=[-0.40338383  0.00240103], goal=[-0.39607477  0.00243697], action=[0.6074754], reward=0, next_state=[-0.39607477  0.00243697], next_goal=[-0.39607477  0.00243697]
Low-level transition added: state=[-0.39607477  0.00243697], goal=[-0.3954466  -0.00090975], action=[-0.11710691], reward=0, next_state=[-0.3954466  -0.00090975], next_goal=[-0.3954466  -0.00090975]
Low-level transition added: state=[-0.3954466  -0.00090975], goal=[-0.40070156 -0.00216183], action=[0.33999515], reward=0, next_state=[-0.40070156 -0.00216183], next_goal=[-0.40070156 -0.00216183]
Low-level transition added: state=[-0.40070156 -0.00216183], goal=[-0.4121469  -0.00461778], action=[0.03955951], reward=0, next_state=[-0.4121469  -0.00461778], next_goal=[-0.4121469  -0.00461778]
Low-level transition added: state=[-0.4121469  -0.00461778], goal=[-0.43001303 -0.00658398], action=[0.08375], reward=0, next_state=[-0.43001303 -0.00658398], next_goal=[-0.43001303 -0.00658398]
Low-level transition added: state=[-0.43001303 -0.00658398], goal=[-0.44968151 -0.00649452], action=[0.44987234], reward=0, next_state=[-0.44968151 -0.00649452], next_goal=[-0.44968151 -0.00649452]
Low-level transition added: state=[-0.44968151 -0.00649452], goal=[-0.46336038 -0.00355502], action=[0.9942295], reward=0, next_state=[-0.46336038 -0.00355502], next_goal=[-0.46336038 -0.00355502]
Low-level transition added: state=[-0.46336038 -0.00355502], goal=[-0.47312163 -0.00307842], action=[0.3888749], reward=0, next_state=[-0.47312163 -0.00307842], next_goal=[-0.47312163 -0.00307842]
Low-level transition added: state=[-0.47312163 -0.00307842], goal=[-0.48494289 -0.00434365], action=[-0.04789619], reward=0, next_state=[-0.48494289 -0.00434365], next_goal=[-0.48494289 -0.00434365]
Low-level transition added: state=[-0.48494289 -0.00434365], goal=[-0.50636462 -0.00849078], action=[-0.75975215], reward=0, next_state=[-0.50636462 -0.00849078], next_goal=[-0.50636462 -0.00849078]
Low-level transition added: state=[-0.50636462 -0.00849078], goal=[-0.53724143 -0.01111895], action=[-0.5465453], reward=0, next_state=[-0.53724143 -0.01111895], next_goal=[-0.53724143 -0.01111895]
Low-level transition added: state=[-0.53724143 -0.01111895], goal=[-0.57319601 -0.01232949], action=[-0.39577186], reward=0, next_state=[-0.57319601 -0.01232949], next_goal=[-0.57319601 -0.01232949]
Low-level transition added: state=[-0.57319601 -0.01232949], goal=[-0.60669142 -0.01049818], action=[0.10280556], reward=0, next_state=[-0.60669142 -0.01049818], next_goal=[-0.60669142 -0.01049818]
Low-level transition added: state=[-0.60669142 -0.01049818], goal=[-0.6262861 -0.0044937], action=[0.8851448], reward=0, next_state=[-0.6262861 -0.0044937], next_goal=[-0.6262861 -0.0044937]
Low-level transition added: state=[-0.6262861 -0.0044937], goal=[-0.63348338 -0.00133089], action=[0.18271492], reward=0, next_state=[-0.63348338 -0.00133089], next_goal=[-0.63348338 -0.00133089]
